Адрес помещения для голосования;учреждение;номера участков; количество участков в учреждении
г.Кировск, ул. Кирова, д.27а;МОУ СОШ  № 2;232, 233;2
"г.Кировск, ул. Олимпийская,
 д. 8а";МУ «Вечерняя сменная общеобразовательная школа»;234, 235;2
г.Кировск, ул. Олимпийская, д. 57а;Хибинская гимназия;236, 237;2
г.Кировск, ул. Коммунальная, д. 9;Филиал Костромского госуниверситета;238;1
г.Кировск, ул. Мира, д. 7;МАУК «Кировский городской Дворец культуры»;239, 241, 243;3
г.Кировск, ул. Мира, д.9;МОУ СОШ  № 7;240;1
г.Кировск, пр. Ленина, д. 25;административное здание ;242, 246;2
г.Кировск, ул. Советской Конституции, д.10;МОУ СОШ № 5;244;1
г.Кировск, ул. Ленинградская, д.2;административное здание;245;1
г.Кировск, пр. Ленина, д.28;поликлиника;247;1
н.п. Титан;СДК;497;1
н.п. Коашва;СДК;498;1
;;;
;;;
;;;
;;;
